Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,139.500000,143.712006,112.736504,114.109497,114.109497,761152000
2022-05-01,113.404999,122.854500,101.884499,113.762001,113.762001,850450000
2022-06-01,114.855003,119.347000,105.045998,108.962997,108.962997,770754000
2022-07-01,107.932999,119.684998,104.070000,116.320000,116.320000,789529700
2022-08-01,115.300003,122.430000,107.800003,108.220001,108.220001,515852700
2022-09-01,108.279999,111.620003,95.559998,95.650002,95.650002,613278900
2022-10-01,96.760002,104.820000,91.800003,94.510002,94.510002,681488300
2022-11-01,95.449997,101.040001,83.339996,100.989998,100.989998,716522700
2022-12-01,101.019997,102.250000,85.940002,88.230003,88.230003,603127800
2023-01-01,89.589996,100.320000,84.860001,98.839996,98.839996,672897800
2023-02-01,98.709999,108.180000,88.580002,90.059998,90.059998,952580200
2023-03-01,89.980003,106.589996,89.419998,103.730003,103.730003,859933900
